Chikorita,152,Grass,45,49,65,45,;
Sunkern,191,Grass,30,30,30,30,;
Treecko,252,Grass,40,45,35,70,;
Seedot,273,Grass,40,40,50,30,;
Shroomish,285,Grass,60,40,60,35,;
Charmander,004,Fire,39,52,43,65,;
Vulpix,037,Fire,38,41,40,65,;
Growlithe,058,Fire,55,70,45,60,;
Ponyta,077,Fire,50,85,55,90,;
Cyndaquil,155,Fire,39,52,43,65,;
Squirtle,007,Water,44,48,65,43,;
Psyduck,054,Water,50,52,48,55,;
Poliwag,060,Water,40,50,40,90,;
Seel,086,Water,65,45,55,45,;
Shellder,090,Water,30,65,100,40,;
Rattata,019,Normal,30,56,35,72,;
Meowth,052,Normal,40,45,35,90,;
Lickitung,108,Normal,90,55,75,30,;
Kangaskhan,115,Normal,105,95,80,90,;
Tauros,128,Normal,75,100,95,110,;
